Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Italy,2010,Energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-31.387300491333008,1283,1659539394367
Bulgaria,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-11.620269775390625,753,1659539394367
Portugal,2018,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-1.673799991607666,368,1659539394367
Slovak Republic,2010,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.969057083129883,113823,1659539394367
United Kingdom,2014,Non-energy,Employment,Gender wage gap,,Percent,-19.098180770874023,81545,1659539394367
Cyprus,2010,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-20.149709701538086,13237,1659539394367
Belgium,2010,Energy generation and distribution,Employment,Gender wage gap by firm size,Large,Percent,-20.98563003540039,829,1659539394367
Latvia,2010,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-2.4924440383911133,30019,1659539394367
Estonia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-34.92206954956055,63,1659539394367
Lithuania,2018,Total,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-5.724078178405762,1140,1659539394367
Canada,2018,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-10.725850105285645,4605,1659539394367
Hungary,2010,Energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-60.628448486328125,1582,1659539394367
Cyprus,2010,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-5.367910861968994,4046,1659539394367
Czech Republic,2018,Energy generation and distribution,Employment,Gender wage gap by contract type,Permanent contract,Percent,-24.053619384765625,30931,1659539394367
Estonia,2018,Important energy consumers,Employment,Gender wage gap by education level,Tertiary education,Percent,-0.3937501907348633,1059,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Tertiary education,Percent,-83.52313232421875,586,1659539394367
Greece,2018,Energy generation and distribution,Employment,Gender wage gap by firm size,Small,Percent,-14.181260108947754,119,1659539394367
Romania,2010,Total,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,22.321969985961914,59995,1659539394367
Hungary,2018,Non-energy,Employment,Gender employment gap by firm size,Small,Percent,-7.748569011688232,90297,1659539394367
Slovak Republic,2014,Important energy consumers,Employment,Gender gap in hours worked,,Percent,-2.1963911056518555,21639,1659539394367
Norway,2010,Energy,Employment,Gender wage gap by firm size,Small,Percent,-2.874284029006958,4247,1659539394367
Croatia,2014,Important energy consumers,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-85.23309326171875,398,1659539394367
Sweden,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-15.690999984741211,105766,1659539394367
Canada,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-15.126130104064941,4341,1659539394367
Belgium,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-14.6879301071167,201,1659539394367
Finland,2018,Total,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-8.538641929626465,57713,1659539394367
Finland,2018,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-18.955360412597656,1396,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-3.262716054916382,155,1659539394367
Greece,2010,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-6.20939302444458,2060,1659539394367
France,2018,Non-energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-12.492409706115723,26505,1659539394367
Finland,2010,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-6.244396209716797,2219,1659539394367
Denmark,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-9.253883361816406,763,1659539394367
Croatia,2018,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-1.3026410341262817,12620,1659539394367
Canada,2014,Total,Employment,Gender gap in hours worked by firm size,Medium,Percent,-19.243709564208984,39462,1659539394367
Romania,2010,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,38.457820892333984,54868,1659539394367
Belgium,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-20.275470733642578,1766,1659539394367
Germany,2014,Total,Employment,Gender gap in hours worked by firm size,Small,Percent,-28.44717025756836,114661,1659539394367
Spain,2018,Energy generation and distribution,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-19.723390579223633,652,1659539394367
Spain,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Tertiary education,Percent,-61.3366813659668,1143,1659539394367
Croatia,2018,Total,Employment,Gender wage gap,,Percent,-9.907482147216797,42077,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-1.2373449802398682,492,1659539394367
Latvia,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Large,Percent,-1.3530609607696533,378,1659539394367
Norway,2014,Energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.1438400745391846,11961,1659539394367
Sweden,2010,Energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-7.895700931549072,2567,1659539394367
Poland,2010,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-2.612420082092285,8342,1659539394367
United States,2010,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,26.576719284057617,39340,1659539394367
Cyprus,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-12.83843994140625,86,1659539394367
Italy,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-14.219770431518555,2787,1659539394367
Luxembourg,2018,Total,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-9.144482612609863,15788,1659539394367
Romania,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-28.912090301513672,204,1659539394367
Lithuania,2018,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.1495769023895264,15542,1659539394367
Sweden,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-8.225826263427734,216,1659539394367
Romania,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-93.2381820678711,667,1659539394367
Canada,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-11.13778018951416,142082,1659539394367
United States,2014,Energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-11.831049919128418,1274,1659539394367
Belgium,2018,Total,Employment,Gender wage gap by firm size,Large,Percent,-8.899765968322754,54692,1659539394367
France,2014,Energy,Employment,Gender wage gap,,Percent,-0.4798572063446045,6419,1659539394367
Bulgaria,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-14.05636978149414,3708,1659539394367
Hungary,2014,Non-energy,Employment,Gender wage gap by firm size,Large,Percent,-11.821399688720703,296596,1659539394367
Lithuania,2014,Non-energy,Employment,Gender wage gap by firm size,Small,Percent,-5.319271087646484,4749,1659539394367
Netherlands,2018,Non-energy,Employment,Gender wage gap by firm size,Medium,Percent,-10.113149642944336,11476,1659539394367
Hungary,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-19.998170852661133,1320,1659539394367
Netherlands,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-28.802690505981445,243,1659539394367
Italy,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Medium,Percent,-13.701029777526855,321,1659539394367
Germany,2010,Total,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-30.07600975036621,248667,1659539394367
Belgium,2018,Total,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-3.916908025741577,54692,1659539394367
Finland,2014,Energy,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-3.6992249488830566,2273,1659539394367
Germany,2018,Energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,-73.2683334350586,2687,1659539394367
Finland,2018,Non-energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-5.431801795959473,20238,1659539394367
Lithuania,2014,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,70.83421325683594,10375,1659539394367
Belgium,2010,Important energy consumers,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-5.0013041496276855,641,1659539394367
Hungary,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-0.7095050811767578,371,1659539394367
Sweden,2010,Energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-12.08944034576416,1367,1659539394367
Finland,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-11.047869682312012,1232,1659539394367
Slovenia,2014,Total,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-4.420637130737305,15474,1659539394367
Canada,2018,Energy,Employment,Gender employment gap by firm size,Medium,Percent,-70.41808319091797,3927,1659539394367
Malta,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.685343742370605,104,1659539394367
Romania,2018,Non-energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-12.355330467224121,27800,1659539394367
Malta,2014,Total,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-5.142963886260986,7858,1659539394367
Lithuania,2010,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-11.383959770202637,15151,1659539394367
Greece,2010,Total,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-4.308075904846191,2150,1659539394367
Cyprus,2014,Total,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-13.094209671020508,6614,1659539394367
France,2010,Important energy consumers,Employment,Gender employment gap by firm size,Large,Percent,-72.22733306884766,1872,1659539394367
Portugal,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills,,Percent,-29.16493034362793,921,1659539394367
Bulgaria,2018,Energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-21.70189094543457,3796,1659539394367
Finland,2018,Important energy consumers,Employment,Gender employment gap by firm size,Small,Percent,-86.74153137207031,266,1659539394367
Czech Republic,2018,Total,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-12.221920013427734,296627,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Medium,Percent,-6.317653179168701,2509,1659539394367
Norway,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Upper secondary education,Percent,-7.531782150268555,2716,1659539394367
Italy,2010,Energy generation and distribution,Employment,Gender wage gap,,Percent,-13.946450233459473,3352,1659539394367
Italy,2014,Energy generation and distribution,Employment,Gender wage gap by firm size,Small,Percent,-8.546406745910645,710,1659539394367
Lithuania,2018,Important energy consumers,Employment,Gender wage gap by firm size,Small,Percent,19.58078956604004,181,1659539394367
Romania,2014,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.23459619283676147,1379,1659539394367
Portugal,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Tertiary education,Percent,-37.57474136352539,315,1659539394367
Slovenia,2018,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.2931299209594727,104467,1659539394367
Latvia,2018,Non-energy,Employment,Gender employment gap by firm size,Large,Percent,68.8798828125,39587,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Temporary contract,Percent,-60.43513107299805,445,1659539394367
Poland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Permanent contract,Percent,-84.94867706298828,3123,1659539394367
Romania,2014,Total,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,23.78908920288086,64952,1659539394367
United Kingdom,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-17.558839797973633,350,1659539394367
Slovak Republic,2014,Energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-21.317350387573242,10178,1659539394367
Romania,2014,Total,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-6.202498912811279,41977,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-10.285360336303711,866,1659539394367
Spain,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-19.126380920410156,2059,1659539394367
Croatia,2010,Important energy consumers,Employment,Gender wage gap by firm size,Small,Percent,-15.0635404586792,252,1659539394367
Netherlands,2014,Energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-13.203749656677246,1264,1659539394367
Croatia,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-15.583889961242676,282,1659539394367
Romania,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-0.5430319905281067,1239,1659539394367
Portugal,2014,Energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-12.548219680786133,1300,1659539394367
Czech Republic,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap,,Percent,-3.4676098823547363,6759,1659539394367
United States,2014,Important energy consumers,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-8.329331398010254,469,1659539394367
United States,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-10.303179740905762,420,1659539394367
Netherlands,2018,Energy generation and distribution,Employment,Gender wage gap,,Percent,-17.277740478515625,545,1659539394367
Spain,2018,Energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-76.66517639160156,1145,1659539394367
Poland,2018,Important energy consumers,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-87.48384857177734,499,1659539394367
Spain,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Medium,Percent,6.920777797698975,358,1659539394367
Luxembourg,2018,Important energy consumers,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-9.443806648254395,109,1659539394367
Czech Republic,2014,Important energy consumers,Employment,Gender employment gap by firm size,Small,Percent,-77.60619354248047,626,1659539394367
Slovak Republic,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Temporary contract,Percent,-6.50718879699707,421,1659539394367
Denmark,2018,Total,Employment,Gender employment gap by contract type,Permanent contract,Percent,-2.711548089981079,1023615,1659539394367
Denmark,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Small,Percent,-89.30728912353516,1956,1659539394367
Poland,2014,Total,Employment,Gender employment gap by education level,Upper secondary education,Percent,-33.763240814208984,159687,1659539394367
Canada,2010,Energy generation and distribution,Employment,Gender employment gap by firm size,Small,Percent,-39.67314910888672,4082,1659539394367
Hungary,2018,Energy generation and distribution,Employment,Gender gap in hours worked,,Percent,-2.252347946166992,2933,1659539394367
United States,2018,Total,Employment,Gender wage gap conditional on skills,,Percent,-20.48052978515625,67307,1659539394367
Lithuania,2010,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-1.0251489877700806,15151,1659539394367
United Kingdom,2010,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-68.30829620361328,694,1659539394367
Romania,2010,Total,Employment,Gender wage gap by firm size,Medium,Percent,-6.714326858520508,39191,1659539394367
Italy,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-15.078539848327637,280,1659539394367
Bulgaria,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,0.314597487449646,1452,1659539394367
Lithuania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-14.984970092773438,67,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender wage gap by firm size,Large,Percent,-7.8991780281066895,12077,1659539394367
Latvia,2018,Total,Employment,Gender employment gap by firm size,Large,Percent,33.61231994628906,42509,1659539394367
Lithuania,2014,Important energy consumers,Employment,Gender employment gap by firm size,Small,Percent,-74.29296875,157,1659539394367
Romania,2018,Energy generation and distribution,Employment,Gender wage gap,,Percent,-12.58899974822998,5009,1659539394367
Canada,2018,Non-energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,4.711244106292725,43379,1659539394367
Estonia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-29.44672966003418,94,1659539394367
Czech Republic,2018,Total,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-8.951549530029297,140576,1659539394367
Bulgaria,2014,Total,Employment,Gender employment gap by firm size,Large,Percent,-7.334342956542969,35573,1659539394367
Hungary,2018,Important energy consumers,Employment,Gender employment gap,,Percent,-78.3868179321289,3681,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-68.317138671875,14965,1659539394367
Belgium,2018,Energy,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-9.303153038024902,1023,1659539394367
Germany,2018,Total,Employment,Gender wage gap by education level,Upper secondary education,Percent,-15.220250129699707,254633,1659539394367
Finland,2010,Total,Employment,Gender employment gap by contract type,Permanent contract,Percent,-3.9027950763702393,137794,1659539394367
United Kingdom,2014,Non-energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,9.831068992614746,12698,1659539394367
Spain,2014,Total,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-15.547989845275879,27995,1659539394367
Latvia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Medium,Percent,-8.566193580627441,399,1659539394367
Poland,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-13.700349807739258,2057,1659539394367
Portugal,2010,Energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,5.692467212677002,686,1659539394367
Italy,2010,Non-energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,26.52873992919922,8063,1659539394367
Lithuania,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Large,Percent,-0.996802806854248,69,1659539394367
Italy,2014,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-18.02446937561035,12294,1659539394367
Finland,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-93.4890365600586,112,1659539394367
Luxembourg,2010,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-80.65276336669922,38,1659539394367
Estonia,2010,Total,Employment,Gender employment gap by firm size,Small,Percent,-9.703274726867676,19823,1659539394367
Slovenia,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-11.708430290222168,28144,1659539394367
Sweden,2018,Total,Employment,Gender employment gap by education level,Tertiary education,Percent,37.77455139160156,69820,1659539394367
Sweden,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-51.340301513671875,67,1659539394367
Bulgaria,2014,Energy generation and distribution,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-18.756860733032227,922,1659539394367
Cyprus,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked,,Percent,-1.5631589889526367,379,1659539394367
Bulgaria,2010,Non-energy,Employment,Gender employment gap,,Percent,32.465049743652344,87480,1659539394367
Czech Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap,,Percent,-85.75015258789062,8577,1659539394367
Lithuania,2010,Non-energy,Employment,Gender wage gap,,Percent,-11.901559829711914,16309,1659539394367
Latvia,2018,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-81.15702056884766,3210,1659539394367
Hungary,2010,Total,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-4.159457206726074,72144,1659539394367
Denmark,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-18.171260833740234,1583,1659539394367
Netherlands,2018,Important energy consumers,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,12.636659622192383,395,1659539394367
Finland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-14.05897045135498,1156,1659539394367
Czech Republic,2014,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-8.04677963256836,8510,1659539394367
Bulgaria,2014,Non-energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-0.754493772983551,43717,1659539394367
Portugal,2014,Total,Employment,Gender gap in hours worked,,Percent,-4.225160121917725,37430,1659539394367
Slovenia,2018,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-4.023665904998779,598,1659539394367
Canada,2010,Non-energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,28.18239974975586,238735,1659539394367
Germany,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-15.519550323486328,2631,1659539394367
Denmark,2014,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-21.17970085144043,3137,1659539394367
Poland,2010,Non-energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-15.343600273132324,150911,1659539394367
Poland,2018,Important energy consumers,Employment,Gender gap in hours worked by firm size,Large,Percent,-1.792641043663025,9792,1659539394367
Romania,2010,Non-energy,Employment,Gender gap in hours worked by firm size,Small,Percent,-0.5490304827690125,39153,1659539394367
France,2018,Total,Employment,Gender gap in hours worked by firm size,Medium,Percent,-8.852046966552734,24024,1659539394367
Canada,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-13.514579772949219,4508,1659539394367
Slovenia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,2.1311540603637695,28,1659539394367
Croatia,2014,Total,Employment,Gender employment gap by contract type,Temporary contract,Percent,-15.438509941101074,4518,1659539394367
Netherlands,2010,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-28.664520263671875,64,1659539394367
Spain,2010,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-22.007070541381836,986,1659539394367
Romania,2018,Non-energy,Employment,Gender gap in hours worked,,Percent,-0.6540970802307129,138820,1659539394367
Czech Republic,2010,Energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.449384927749634,72956,1659539394367
Netherlands,2010,Important energy consumers,Employment,Gender wage gap by firm size,Small,Percent,-12.228289604187012,402,1659539394367
Spain,2010,Non-energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-11.269550323486328,11687,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-35.084041595458984,466,1659539394367
Croatia,2014,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-2.4388771057128906,228,1659539394367
Sweden,2018,Energy generation and distribution,Employment,Gender wage gap by firm size,Medium,Percent,-8.609339714050293,353,1659539394367
Finland,2014,Energy,Employment,Gender gap in hours worked by firm size,Small,Percent,-6.386172771453857,773,1659539394367
Sweden,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-4.098127841949463,1734,1659539394367
Canada,2014,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-26.77747917175293,9964,1659539394367
France,2010,Energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-3.28210711479187,2791,1659539394367
Greece,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-15.737250328063965,3844,1659539394367
United Kingdom,2010,Energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-12.084750175476074,373,1659539394367
France,2010,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-19.975950241088867,46361,1659539394367
Latvia,2018,Total,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-18.315610885620117,20486,1659539394367
Croatia,2018,Energy generation and distribution,Employment,Gender wage gap,,Percent,-6.086483955383301,976,1659539394367
Germany,2010,Energy,Employment,Gender employment gap by firm size,Large,Percent,-69.95440673828125,29183,1659539394367
Greece,2018,Non-energy,Employment,Gender wage gap conditional on skills,,Percent,-9.390342712402344,15982,1659539394367
